action,priority,surface,in_use,issue,key,file,current_en,suggested_en,new_en,current_fr,new_fr,current_de,new_de,current_es,new_es,current_ja,new_ja,current_zh-TW,new_zh-TW,current_zh-CN,new_zh-CN,current_pt,new_pt,current_nl,new_nl,current_sv,new_sv,current_it,new_it,current_uk,new_uk,current_ru,new_ru,current_ko,new_ko,current_tr,new_tr,notes
rewrite,P0,create-task,no,needs-rewrite,v4.create.noCreditsTrial,public/locales/{code}/translation.json,No credits left. Start your 5 days free trial,No credits left. Start your 5-day free trial,No credits left. Start your 5-day free trial,Plus de crédits. Commencez votre essai gratuit de 5 jours,Plus de crédits. Commencez votre essai gratuit de 5 jours,Keine Credits mehr. Starten Sie Ihre 5-tägige kostenlose Testphase,Keine Credits mehr. Starten Sie Ihre kostenlose 5-Tage-Testversion,Sin créditos. Inicie su prueba gratuita de 5 días,No quedan créditos. Inicia tu prueba gratuita de 5 días,クレジットがありません。5日間の無料トライアルを開始してください,クレジットがありません。5日間の無料トライアルを開始してください,額度已用完，立即開始 5 天免費試用,額度已用完，立即開始 5 天免費試用,积分已用完，立即开启 5 天免费试用,积分已用完，立即开启 5 天免费试用,Sem créditos. Inicie o seu período de teste gratuito de 5 dias,Sem créditos. Inicie o seu período de teste gratuito de 5 dias,Geen credits meer. Start uw gratis proefperiode van 5 dagen,Geen credits meer. Start uw gratis proefperiode van 5 dagen,Inga krediter kvar. Starta din 5 dagars kostnadsfria provperiod,Inga krediter kvar. Starta din 5 dagars kostnadsfria provperiod,Crediti esauriti. Inizia la prova gratuita di 5 giorni,Crediti esauriti. Inizia la prova gratuita di 5 giorni,Кредити закінчилися. Розпочніть безкоштовний 5-денний пробний період,Кредити закінчилися. Розпочніть безкоштовний 5-денний пробний період,Кредиты закончились. Начните бесплатный 5-дневный пробный период,Кредиты закончились. Начните бесплатный 5-дневный пробный период,크레딧이 없습니다. 5일 무료 체험을 시작하세요,크레딧이 없습니다. 5일 무료 체험을 시작하세요,Kredi kalmadı. 5 günlük ücretsiz denemenizi başlatın,Kredi kalmadı. 5 günlük ücretsiz denemenizi başlatın,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,create-task,yes,needs-rewrite|title-case,v4.createTask.confirmAction,public/locales/{code}/translation.json,Translate Now,Translate now,Translate now,Traduire maintenant,Traduire maintenant,Jetzt übersetzen,Jetzt übersetzen,Traducir ahora,Traducir ahora,今すぐ翻訳,今すぐ翻訳,立即翻譯,立即翻譯,立即翻译,立即翻译,Traduzir agora,Traduzir agora,Nu vertalen,Nu vertalen,Översätt nu,Översätt nu,Traduci ora,Traduci ora,Перекласти зараз,Перекласти зараз,Перевести сейчас,Перевести сейчас,지금 번역,지금 번역,Şimdi Çevir,Şimdi Çevir,
rewrite,P0,create-task,no,needs-rewrite,v4.createTask.confirmBlockedPricingTitle,public/locales/{code}/translation.json,Credits are not enough for this task,Not enough credits for this task,Not enough credits for this task,Crédits insuffisants pour cette tâche,Pas assez de crédits pour cette tâche,Credits reichen für diese Aufgabe nicht aus,Nicht genügend Credits für diese Aufgabe,Los créditos no son suficientes para esta tarea,No hay suficientes créditos para esta tarea,このタスクのクレジットが不足しています,このタスクに必要なクレジットが不足しています,點數不足以完成此任務,點數不足以完成此任務,当前额度不足，无法创建该任务,当前额度不足，无法创建该任务,Créditos insuficientes para esta tarefa,Créditos insuficientes para esta tarefa,Credits zijn niet genoeg voor deze taak,Credits zijn niet genoeg voor deze taak,Krediterna räcker inte för denna uppgift,Krediterna räcker inte för denna uppgift,I crediti non bastano per questa attività,I crediti non bastano per questa attività,Кредитів недостатньо для цього завдання,Кредитів недостатньо для цього завдання,Кредитов недостаточно для этой задачи,Кредитов недостаточно для этой задачи,이 작업에 크레딧이 충분하지 않습니다,이 작업에 크레딧이 충분하지 않습니다,Bu görev için krediler yetersiz,Bu görev için krediler yetersiz,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,create-task,no,needs-rewrite|lacks-context,v4.createTask.confirmEstimateLeftLabel,public/locales/{code}/translation.json,Left,Credits left,Credits left,Restant,Crédits restants,Übrig,Verbleibende Credits,Restante,Créditos restantes,残り,残りのクレジット,剩餘,剩餘點數,剩余,剩余积分,Restante,Créditos restantes,Over,Resterende credits,Kvar,Återstående krediter,Rimanenti,Crediti rimanenti,Залишилось,Залишок кредитів,Осталось,Осталось кредитов,남음,남은 크레딧,Kalan,Kalan krediler,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,create-task,no,needs-rewrite|lacks-context,v4.createTask.confirmEstimateNeedLabel,public/locales/{code}/translation.json,Need,Credits needed,Credits needed,Besoin,Crédits nécessaires,Benötigt,Benötigte Credits,Necesario,Créditos necesarios,必要,必要なクレジット,需要,所需點數,需要,所需积分,Necessário,Créditos necessários,Nodig,Benodigde credits,Behövs,Krediter som behövs,Necessari,Crediti necessari,Потрібно,Необхідні кредити,Нужно,Требуется кредитов,필요,필요한 크레딧,Gerekli,Gerekli krediler,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,create-task,no,needs-rewrite|lacks-context,v4.createTask.confirmEstimateShortLabel,public/locales/{code}/translation.json,Short,Shortfall,Shortfall,Manque,Crédits manquants,Fehlt,Fehlende Credits,Faltante,Créditos faltantes,不足,不足クレジット,不足,點數缺口,差额,积分差额,Faltando,Défice,Tekort,Tekort,Saknas,Underskott,Mancanti,Crediti mancanti,Не вистачає,Нестача,Не хватает,Недостача,부족,부족분,Eksik,Eksik miktar,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,create-task,no,needs-rewrite|title-case,v4.createTask.confirmSubscribeAndStart,public/locales/{code}/translation.json,View Plans,View plans,View plans,Aller à l'abonnement,Voir les forfaits,Zum Abonnement gehen,Tarife anzeigen,Ir a suscripción,Ver planes,サブスクリプションへ,プランを見る,前往訂閱,前往訂閱,查看套餐,查看套餐,Ir para assinatura,Ir para assinatura,Ga naar abonnement,Ga naar abonnement,Gå till prenumeration,Gå till prenumeration,Vai all'abbonamento,Vai all'abbonamento,Перейти до підписки,Перейти до підписки,Перейти к подписке,Перейти к подписке,구독으로 이동,구독으로 이동,Aboneliğe git,Aboneliğe git,Not referenced by t() in app/; skip unless you still see it in UI
rewrite,P0,create-task,yes,needs-rewrite|grammar-or-jargon,v4.createTask.confirmTrialFeatureModel,public/locales/{code}/translation.json,"1,500,000 Credit/Month","1,500,000 credits/month","1,500,000 credits/month","Modèle disponible
GPT",1 500 000 crédits/mois,"Verfügbares Modell
GPT",1.500.000 Credits/Monat,"Modelo disponible
GPT",1.500.000 créditos/mes,"利用可能なモデル
GPT","1,500,000クレジット/月","可用模型
GPT","可用模型
GPT","1,500,000 Credit/Month","1,500,000 Credit/Month","Modelo disponível
GPT","Modelo disponível
GPT","Beschikbaar model
GPT","Beschikbaar model
GPT","Tillgänglig modell
GPT","Tillgänglig modell
GPT","Modello disponibile
GPT","Modello disponibile
GPT","Доступна модель
GPT","Доступна модель
GPT","Доступная модель
GPT","Доступная модель
GPT","사용 가능한 모델
GPT","사용 가능한 모델
GPT","Mevcut model
GPT","Mevcut model
GPT",
rewrite,P0,create-task,yes,needs-rewrite|grammar-or-jargon,v4.createTask.confirmTrialFeatureSpeed,public/locales/{code}/translation.json,"4,000,000 Credit","4,000,000 credits","4,000,000 credits","Vitesse de traduction
x1,5",4 000 000 de crédits,"Übersetzungsgeschwindigkeit
x1,5",4.000.000 Credits,"Velocidad de traducción
x1.5",4.000.000 de créditos,"翻訳速度
x1.5","4,000,000クレジット","翻譯速度
x1.5","翻譯速度
x1.5","4,000,000 Credit","4,000,000 Credit","Velocidade de tradução
x1.5","Velocidade de tradução
x1.5","Vertalingssnelheid
x1,5","Vertalingssnelheid
x1,5","Översättningshastighet
x1,5","Översättningshastighet
x1,5","Velocità di traduzione
x1.5","Velocità di traduzione
x1.5","Швидкість перекладу
x1.5","Швидкість перекладу
x1.5","Скорость перевода
x1.5","Скорость перевода
x1.5","번역 속도
x1.5","번역 속도
x1.5","Çeviri hızı
x1.5","Çeviri hızı
x1.5",
rewrite,P0,create-task,yes,needs-rewrite,v4.createTask.confirmTrialOfferTitle,public/locales/{code}/translation.json,5 Days Free trial,5-day free trial,5-day free trial,Essai gratuit,Essai gratuit de 5 jours,Kostenlose Testversion,Kostenlose 5-Tage-Testversion,Prueba gratuita,Prueba gratuita de 5 días,無料トライアル,5日間の無料トライアル,免費試用,免費試用,5 Days Free trial,5 Days Free trial,Teste gratuito,Teste gratuito,Gratis proefversie,Gratis proefversie,Gratis testversion,Gratis testversion,Prova gratuita,Prova gratuita,Безкоштовна пробна версія,Безкоштовна пробна версія,Бесплатная пробная версия,Бесплатная пробная версия,무료 체험,무료 체험,Ücretsiz deneme,Ücretsiz deneme,
